               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  87,            0.015771,           0.0046888,                   0,                   1,             0.99986,               0.995,             0.71713,            0.020284,           0.0048005,                   0,            0.007162,            0.007162,            0.007162
                  88,            0.015926,           0.0046176,                   0,             0.99974,                   1,               0.995,             0.71715,            0.020243,           0.0048405,                   0,            0.007129,            0.007129,            0.007129
                  89,            0.015907,           0.0046277,                   0,             0.99983,                   1,               0.995,             0.72052,            0.020004,            0.004826,                   0,            0.007096,            0.007096,            0.007096
                  90,            0.015714,           0.0045254,                   0,             0.99979,                   1,               0.995,             0.72085,            0.019863,            0.004725,                   0,            0.007063,            0.007063,            0.007063
                  91,            0.015813,           0.0045256,                   0,             0.99976,             0.99667,               0.995,             0.72646,            0.019389,            0.004756,                   0,             0.00703,             0.00703,             0.00703
                  92,            0.015254,           0.0044142,                   0,             0.99979,                   1,               0.995,             0.71222,            0.019933,           0.0048166,                   0,            0.006997,            0.006997,            0.006997
                  93,            0.015846,           0.0046438,                   0,              0.9996,                   1,               0.995,              0.7225,             0.01977,           0.0047604,                   0,            0.006964,            0.006964,            0.006964
                  94,            0.015589,           0.0045737,                   0,             0.99972,                   1,               0.995,             0.72199,            0.020143,           0.0047981,                   0,            0.006931,            0.006931,            0.006931
                  95,            0.015525,           0.0045178,                   0,             0.99962,                   1,               0.995,             0.70547,            0.020696,           0.0048272,                   0,            0.006898,            0.006898,            0.006898
                  96,            0.015492,           0.0044365,                   0,                   1,              0.9998,               0.995,              0.7309,            0.019469,           0.0048026,                   0,            0.006865,            0.006865,            0.006865
                  97,            0.015081,           0.0044342,                   0,             0.99978,                   1,               0.995,             0.71535,            0.019987,            0.004789,                   0,            0.006832,            0.006832,            0.006832
                  98,            0.014829,           0.0044761,                   0,             0.99981,                   1,               0.995,             0.72149,              0.0198,           0.0048484,                   0,            0.006799,            0.006799,            0.006799
                  99,            0.015083,           0.0044443,                   0,             0.99969,                   1,               0.995,             0.72169,            0.020305,           0.0048062,                   0,            0.006766,            0.006766,            0.006766
